_id	sortNum	visible	status	type	menuName	parentId	component	icon	createBy	createAt	updateAt	__v	updateBy	path	componentName	isCache	perms	query
656d94d4d25b3e7264d2ccce	1	true	true	菜单	用户列表	6572908506396f128b6128ba	/user/index	el-icon-user	null	2023-12-04 08:59:00.167	2023-12-08 04:28:17.442	0	null	/user	user	true		
65713388efc8033d6ea668fa	1	true	true	菜单	通知列表	657132c2efc8033d6ea668f3	/notice/index	el-icon-message	null	2023-12-07 02:52:56.934	2023-12-07 02:57:59.931	0	null	/notice/notice				
6572911b06396f128b6128d1	1	true	true	菜单	菜单管理	6572908506396f128b6128ba	/menu/index	el-icon-setting	null	2023-12-08 03:44:27.398	2023-12-08 03:44:27.399	0		/menu	menu	true		
6572913706396f128b6128d5	1	true	true	菜单	角色管理	6572908506396f128b6128ba	/role/index	el-icon-setting	null	2023-12-08 03:44:55.885	2023-12-08 03:44:55.886	0		/role	role	true		
6572dae804bfef8d2003c86e	1	true	true	菜单	字典管理	6572908506396f128b6128ba	/dictionary/index	el-icon-document-copy	null	2023-12-08 08:59:20.108	2023-12-08 09:05:37.735	0	null	/dict/index	Dict	true		
6572e2b223fc851983be1c76	1	false	true	菜单	字典数据	6572908506396f128b6128ba	/dictionary/data		null	2023-12-08 09:32:34.741	2023-12-08 10:06:45.368	0	null	/dict/data	Data	true		
6621e449423a9d538ae58cd2	1	true	true	菜单	招聘管理	6621e411423a9d538ae58cce	/recruitment/index	el-icon-finished		2024-04-19 03:26:01.032	2024-04-19 03:26:01.032	0		/recruitment/index				
6621e497423a9d538ae58cda	1	true	true	菜单	留言管理	6621e46d423a9d538ae58cd6	/message/index	el-icon-notebook-1		2024-04-19 03:27:19.553	2024-04-19 03:27:19.553	0		/message/index				
6621e4f939235897dfc394e2	1	true	true	菜单	荣誉管理	6621e4c639235897dfc394de		el-icon-trophy-1		2024-04-19 03:28:57.54	2024-04-19 03:28:57.54	0		/honor/index				
662763eb3291626dd9bb0185	1	true	true	菜单	素材库管理	6627635d3291626dd9bb017a	/materiallibrary/index	el-icon-picture-outline		2024-04-23 07:31:55.469	2024-04-23 07:31:55.469	0		/materiallibrary/index				
6628b45ffbaa7c69b17aba5b	1	true	true	菜单	产品分类管理	6628b3fefbaa7c69b17aba50	/productCate/index	el-icon-s-grid		2024-04-24 07:27:27.286	2024-04-24 07:27:27.286	0		/productCate/index				
674c1fabd9732efb4a7f935e	1	true	true	菜单	生产订单	674c1fabd9732efb4a7f935e	/productionManagement/index	el-icon-monitor		2024-12-01 08:34:51.324	2024-12-01 08:34:51.324	0		/productionManagement				
674c2020d9732efb4a7f9372	1	true	true	菜单	生产订单	67527c0f105643b663849c85	/productionManagement/index	el-icon-s-order		2024-12-01 08:36:48.598	2024-12-01 08:36:48.598	0		/productionManagement/index	productionManagement	true		
674d17f70526e215ce3f4877	1	true	true	菜单	物料信息	67527c0f105643b663849c85	/material/index	el-icon-notebook-2		2024-12-02 02:14:15.227	2024-12-02 02:14:15.227	0		/material/index	material	true		
67505f63a7da039e2357295e	1	true	true	菜单	产线扫码	67505f46a7da039e2357295a	/scanBarCode/index	el-icon-camera-solid		2024-12-04 13:55:47.257	2024-12-04 13:55:47.257	0		/scanBarCode/index	ScanBarCode	true		
67527c25105643b663849c89	1	true	true	菜单	销售订单	67527c0f105643b663849c85	/saleOrder/index	el-icon-s-goods		2024-12-06 04:23:01.364	2024-12-06 04:23:01.364	0		/saleOrder/index	saleOrder	true		
67540932b1f0b25686502ce1	2	true	true	菜单	条码记录	6773b7465dd8c2a97b1fa0e7	/materialProcessFlow/index	el-icon-s-order		2024-12-07 08:37:06.931	2024-12-07 08:37:06.931	0		/materialProcessFlow/index	materialProcessFlow	true		
67552c8a742904b1cf71b7ad	1	true	true	菜单	生产计划	674c1ff3d9732efb4a7f936e	/productionPlanWorkOrder/index	el-icon-data-line		2024-12-08 05:20:10.996	2024-12-08 05:20:10.996	0		/productionPlanWorkOrder/index	ProductionOrder	true		
675534c3dbc29646a6ce7621	1	true	true	菜单	生产产线	674c1ff3d9732efb4a7f936e	/productionLine/index	el-icon-s-flag		2024-12-08 05:55:15.233	2024-12-08 05:55:15.233	0		/productionLine/index	ProductionLine	true		
67557ae9272cd0e6dc5454b0	1	true	true	菜单	设备信息	67557acb272cd0e6dc5454ac	/equipmentInformation/index	el-icon-cpu		2024-12-08 10:54:33.42	2024-12-08 10:54:33.42	0		/equipmentInformation/index	machine	true		
6764ca99f24d0dd895faeebb	1	true	true	菜单	检测数据	67557acb272cd0e6dc5454ac	/detectedData/index	el-icon-finished		2024-12-20 01:38:33.874	2024-12-20 01:38:33.874	0		/detectedData	InspectionLastData	true		
676cbbeaf78dda99baaf94fe	3	true	true	菜单	打包托盘	67505f46a7da039e2357295a	/scanBarCodeBatch/index	el-icon-camera-solid		2024-12-26 02:14:02.66	2024-12-26 02:14:02.66	0		/scanBarCodeBatch/index	scanBarCodeBatch	true		
676cdcacca167768c5cbb2cc	1	true	true	菜单	打印模板	6781e645978a446bf6980b7d	/printTemplate/index	el-icon-notebook-2		2024-12-26 04:33:48.22	2024-12-26 04:33:48.22	0		/printTemplate/index	printTemplate	true		
676e0cb6946626395d873852	4	true	true	菜单	托盘单据	67701c87d3fd70ffd0821a13	/materialPalletizing/index	el-icon-s-claim		2024-12-27 02:11:02.584	2024-12-27 02:11:02.584	0		/materialPalletizing/index	MaterialPalletizing	true		
67701cb3d3fd70ffd0821a17	1	true	true	菜单	生产入库单	67701c87d3fd70ffd0821a13	/warehouseEntry/index	el-icon-s-order		2024-12-28 15:43:47.694	2024-12-28 15:43:47.694	0		/warehouseEntry/index	warehouseEntry	true		
677171d4caeaea05f58133ee	1	true	true	菜单	仓库信息	67527c0f105643b663849c85	/stock/index	el-icon-s-order		2024-12-29 15:59:16.125	2024-12-29 15:59:16.125	0		/stock/index	stock	true		
677234478058fde26021674a	1	true	true	菜单	条码匹配规则	6781e645978a446bf6980b7d	/barcodeRule/index	el-icon-s-operation		2024-12-30 05:48:55.5	2024-12-30 05:48:55.5	0		/barcodeRule/index	barcodeRule	true		
